#property,line_cd,station_cd1,station_cd2
1,1002,100201,100202
2,1002,100202,100203
3,1002,100203,100204
4,1002,100204,100205
5,1002,100205,100206
6,1002,100206,100207
7,1002,100207,100208
8,1002,100208,100209
9,1002,100209,100210
10,1002,100210,100211
11,1002,100211,100212
12,1002,100212,100213
13,1002,100213,100214
14,1002,100214,100215
15,1002,100215,100216
16,1002,100216,100217
17,1003,100301,100302
18,1003,100302,100303
19,1003,100303,100304
20,1003,100304,100305
21,1003,100305,100306
22,1003,100306,100307
23,1003,100307,100308
24,1003,100308,100309
25,1003,100309,100310
26,1003,100310,100311
27,1003,100311,100312
28,1003,100312,100313
29,1003,100313,100314
30,1003,100314,100315
31,1003,100315,100316
32,1003,100316,100317
33,1003,100317,100318
34,1003,100318,100319
35,1004,100401,100402
36,1004,100402,100403
37,1004,100403,100404
38,1004,100404,100405
39,1004,100405,100406
40,1004,100406,100407
41,1004,100407,100408
42,1004,100408,100409
43,1004,100409,100410
44,1004,100410,100411
45,1004,100411,100412
46,1004,100412,100413
47,1004,100413,100414
48,1004,100414,100415
49,1004,100415,100416
50,1004,100416,100417
51,1004,100417,100418
52,1004,100418,100419
53,1004,100419,100420
54,1004,100420,100421
55,1004,100421,100422
56,1004,100422,100423
57,1005,100501,100502
58,1005,100502,100503
59,1005,100503,100504
60,1005,100504,100505
61,1005,100505,100506
62,1005,100506,100507
63,1005,100507,100508
64,1005,100508,100509
65,1005,100509,100510
66,1005,100510,100511
67,1005,100511,100512
68,1006,100601,100602
69,1007,100701,100702
70,1007,100702,100703
71,1007,100703,100704
72,1007,100704,100705
73,1007,100705,100706
74,1007,100706,100707
75,1007,100707,100708
76,1007,100708,100709
77,1007,100709,100710
78,1007,100710,100711
79,1007,100711,100712
80,1007,100712,100713
81,1007,100713,100714
82,1007,100714,100715
83,1007,100715,100716
84,1007,100716,100717
85,1007,100717,100718
86,1007,100718,100719
87,1008,100801,100802
88,1008,100802,100803
89,1008,100803,100804
90,1008,100804,100805
91,1008,100805,100806
92,1008,100806,100807
93,1008,100807,100808
94,1008,100808,100809
95,1008,100809,100810
96,1008,100810,100811
97,1008,100811,100812
98,1008,100812,100813
99,1008,100813,100814
100,1008,100814,100815
101,1008,100815,100816
102,1008,100816,100817
103,1008,100817,100818
104,1008,100818,100819
105,1008,100819,100820
106,1008,100820,100821
107,1008,100821,100822
108,1008,100822,100823
109,1009,100901,100902
110,1009,100902,100903
111,1009,100903,100904
112,1009,100904,100905
113,1009,100905,100906
114,1009,100906,100907
115,1009,100907,100908
116,1009,100908,100909
117,1009,100909,100910
118,1009,100910,100911
119,1009,100911,100912
120,1009,100912,100913
121,1009,100913,100914
122,1009,100914,100915
123,1009,100915,100916
124,1009,100916,100917
125,1009,100917,100918
126,1010,101001,101002
127,1010,101002,101003
128,1010,101003,101004
129,1010,101004,101005
130,1010,101005,101006
131,1010,101006,101007
132,1010,101007,101008
133,1010,101008,101009
134,1010,101009,101010
135,1010,101010,101011
136,1010,101011,101012
137,11101,1110101,1110102
138,11101,1110102,1110103
139,11101,1110103,1110104
140,11101,1110104,1110105
141,11101,1110105,1110106
142,11101,1110105,1110108
143,11101,1110106,1110107
144,11101,1110107,1110108
145,11101,1110108,1110114
146,11101,1110108,1110109
147,11101,1110109,1110110
148,11101,1110110,1110111
149,11101,1110111,1110112
150,11101,1110112,1110113
151,11101,1110113,1110123
152,11101,1110114,1110115
153,11101,1110115,1110116
154,11101,1110116,1110117
155,11101,1110117,1110118
156,11101,1110118,1110119
157,11101,1110119,1110120
158,11101,1110120,1110121
159,11101,1110121,1110122
160,11101,1110122,1110123
161,11101,1110123,1110124
162,11101,1110124,1110125
163,11101,1110125,1110126
164,11101,1110126,1110127
165,11101,1110127,1110128
166,11101,1110128,1110129
167,11101,1110129,1110130
168,11101,1110130,1110131
169,11101,1110131,1110132
170,11101,1110132,1110133
171,11101,1110133,1110134
172,11101,1110134,1110135
173,11101,1110135,1110136
174,11101,1110136,1110137
175,11101,1110137,1110138
176,11102,1110201,1110202
177,11102,1110202,1110203
178,11102,1110203,1110204
179,11102,1110204,1110205
180,11102,1110205,1110206
181,11102,1110206,1110207
182,11102,1110207,1110208
183,11102,1110208,1110209
184,11102,1110209,1110210
185,11102,1110210,1110211
186,11102,1110211,1110212
187,11102,1110212,1110213
188,11102,1110213,1110214
189,11102,1110214,1110215
190,11102,1110215,1110216
191,11102,1110216,1110217
192,11102,1110217,1110218
193,11102,1110218,1110219
194,11103,1110301,1110302
195,11103,1110302,1110303
196,11103,1110303,1110304
197,11103,1110304,1110305
198,11103,1110305,1110306
199,11103,1110306,1110307
200,11103,1110307,1110308
201,11103,1110308,1110309
202,11103,1110309,1110310
203,11103,1110310,1110311
204,11103,1110311,1110312
205,11103,1110312,1110313
206,11103,1110313,1110314
207,11103,1110314,1110315
208,11103,1110315,1110316
209,11103,1110316,1110317
210,11103,1110317,1110318
211,11103,1110318,1110319
212,11103,1110319,1110320
213,11103,1110320,1110321
214,11103,1110321,1110322
215,11103,1110322,1110323
216,11103,1110323,1110324
217,11103,1110324,1110325
218,11103,1110325,1110326
219,11103,1110326,1110327
220,11103,1110327,1110328
221,11103,1110328,1110329
222,11103,1110329,1110330
223,11103,1110330,1110331
224,11103,1110331,1110332
225,11103,1110332,1110333
226,11103,1110333,1110334
227,11103,1110334,1110335
